"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"SYNRG","OK",1.76349342521798e-28,11.0072254043956,0.0633763283930863,"SYNRG",9.26336651597986e-28
"ARF6","OK",1.78560582705548e-28,11.0061023935554,0.063356795492051,"ARF6",9.37677870022999e-28
"LOC138521056","OK",1.79950975623817e-28,11.0054033045096,0.0633465560128922,"LOC138521056",9.44703193678057e-28
"TNN","OK",1.88194700929568e-28,11.0013653228974,0.0568330444084759,"TNN",9.87692399446362e-28
"DPP10","OK",2.00115884209227e-28,10.995826077595,0.0631444395181818,"DPP10",1.04995107715031e-27
"NEDD9","OK",2.25128714196382e-28,10.9851965525217,0.0632072745786631,"NEDD9",1.1808415044101e-27
"KIAA1217","OK",2.32476749529693e-28,10.9822960800915,0.0631964461354251,"KIAA1217",1.21902748440285e-27
"LOC138568991","OK",2.37309750434298e-28,10.9804375241482,0.063089549004926,"LOC138568991",1.24400706397443e-27
"TANK","OK",2.39619337196791e-28,10.9795625785862,0.0631326272216939,"TANK",1.25574788259736e-27
"EIF2B2","OK",2.65750777045866e-28,10.9702077123014,0.0631042865538667,"EIF2B2",1.39228614096624e-27
"LOC138487764","OK",2.77454093456151e-28,10.9663103848365,0.0608275223748862,"LOC138487764",1.4531769336657e-27
"PRNP","OK",2.80715430901905e-28,10.9652533592911,0.0630777064556602,"PRNP",1.46982992229232e-27
"SKI","OK",2.83570893783039e-28,10.9643378345955,0.0631565344043818,"SKI",1.48434866335019e-27
"NR4A3","OK",2.84842056800643e-28,10.9639332092351,0.0630428800556846,"NR4A3",1.49056836363062e-27
"MAML2","OK",2.88267034244533e-28,10.9628518508824,0.0631383370934026,"MAML2",1.50805199574214e-27
"BICD2","OK",2.88401483160034e-28,10.9628096620973,0.0631327279594466,"BICD2",1.5083162550599e-27
"ZC3H6","OK",2.9174482154194e-28,10.9617667812048,0.063105609742414,"ZC3H6",1.52535770820735e-27
"EXOC6B","OK",3.30586492278614e-28,10.9504514005197,0.0630521556852313,"EXOC6B",1.72793463241614e-27
"SDK1","OK",3.54006768742384e-28,10.9442498724252,0.0627707006178398,"SDK1",1.84981146679286e-27
"KIAA0825","OK",3.60532893726484e-28,10.9425942385354,0.0630064954094904,"KIAA0825",1.88336514542585e-27
"TMA16","OK",3.68383551308195e-28,10.9406415241681,0.0629496781541464,"TMA16",1.9238164536496e-27
"WDPCP","OK",3.74059520519753e-28,10.9392552657992,0.0629705905498777,"WDPCP",1.95289064024984e-27
"MUS81","OK",3.94014325323043e-28,10.9345420183836,0.0628407607588961,"MUS81",2.05647325764016e-27
"KDM5B","OK",3.9950133428349e-28,10.9332874865695,0.0629631025413552,"KDM5B",2.08450609090427e-27
